Title,Artist,Genre,Year,Beats_Per_Minute,Energy,Danceability,Liveness,Valence,Duration,Acousticness,Popularity
Hurts,Emeli Sandé,Pop,2016,106,64,58,15,18,238,2,57
Change,Christina Aguilera,Pop,2016,82,54,62,13,20,187,68,54
Make Me... (feat. G-Eazy),Britney Spears,Pop,2016,123,70,70,22,58,231,16,53
Keeping Your Head Up,Birdy,Neo Mellow,2016,122,78,60,19,53,208,16,52
True Colors,Zedd,Complextro,2016,126,79,57,10,49,225,40,51
Make Me Like You,Gwen Stefani,Pop,2016,118,71,74,13,80,217,4,50
Champagne Problems,Nick Jonas,Pop,2016,108,78,73,9,64,193,0,50
Blown,DNCE,Pop,2016,130,95,63,10,73,197,0,48
Start,John Legend,Neo Mellow,2016,110,4,52,9,26,310,99,47
Pep Rally,Missy Elliott,Pop,2016,90,75,83,20,32,263,22,47
Higher,Carly Rae Jepsen,Pop,2016,114,87,65,37,44,234,1,46
Invitation,Britney Spears,Pop,2016,112,65,37,9,16,200,3,44
One Call Away (feat. Tyga) - Remix,Charlie Puth,Pop,2016,91,69,75,13,52,192,26,41
Beautiful Birds (feat. Birdy),Passenger,Pop,2016,86,17,39,11,14,214,91,36
Little Lies,Hilary Duff,Pop,2016,124,76,57,4,40,204,0,36
Do You Wanna Come Over?,Britney Spears,Pop,2016,121,70,75,11,45,203,1,34
BURNITUP!,Janet Jackson,Pop,2016,123,71,83,31,83,250,5,31
Picky - Remix,Joey Montana,Latin,2016,186,81,70,37,69,225,9,29
Behind Your Back,Nelly Furtado,Latin,2016,98,47,80,7,69,228,25,18
Shape of You,Ed Sheeran,Pop,2017,96,65,83,9,93,234,58,87
Closer,The Chainsmokers,Electronic,2017,95,52,75,11,66,245,41,86
Starboy,The Weeknd,R&B,2017,186,59,68,14,49,230,14,85
Treat You Better,Shawn Mendes,Pop,2017,83,82,44,11,75,188,11,84
That's What I Like,Bruno Mars,Pop,2017,134,56,85,9,86,207,1,83
Let Me Love You,DJ Snake,Electronic,2017,100,72,65,14,16,206,9,82
I Feel It Coming,The Weeknd,R&B,2017,93,82,77,7,59,269,43,81
Mercy,Shawn Mendes,Pop,2017,148,66,56,11,36,209,13,81
Side To Side,Ariana Grande,Pop,2017,159,74,65,24,61,226,5,80
Stay,Zedd,Complextro,2017,102,62,69,12,54,210,25,80
It Ain't Me (with Selena Gomez),Kygo,Electronic,2017,100,53,64,9,52,221,12,79
Malibu,Miley Cyrus,Pop,2017,140,78,57,8,34,232,8,78
Something Just Like This,The Chainsmokers,Electronic,2017,103,65,61,17,51,248,3,78
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Pop,2017,102,76,72,18,74,251,41,78
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,Pop,2017,118,45,74,33,9,245,6,78
My Way,Calvin Harris,Pop,2017,120,91,82,16,54,219,9,78
